TEAM ID,COACH,TEAM,,COACH,TEAM
NFC001,Kliff Kingsbury,ARI,,Kliff Kingsbury,ARI
NFC002,Raheem Morris,ATL,,Arthur Smith,ATL
NFC003,Matt Rhule,CAR,,Matt Rhule,CAR
NFC004,Matt Nagy,CHI,,Matt Nagy,CHI
NFC005,Mike McCarthy,DAL,,Mike McCarthy,DAL
NFC006,Matt Patricia,DET,,Dan Campbell,DET
NFC007,Matt LaFleur,GNB,,Matt LaFleur,GNB
NFC008,Jon Gruden,LVR,,Jon Gruden,LVR
NFC009,Mike Zimmer,MIN,,Mike Zimmer,MIN
NFC010,Bill Belichick,NWE,,Bill Belichick,NWE
NFC011,Joe Judge,NYG,,Joe Judge,NYG
NFC012,Doug Pederson,PHI,,Nick Sirianni,PHI
NFC013,Pete Carroll,SEA,,Pete Carroll,SEA
NFC014,Kyle Shanahan,SFO,,Kyle Shanahan,SFO
NFC015,Bruce Arians,TAM,,Bruce Arians,TAM
NFC016,Ron Rivera,WAS,,Ron Rivera,WAS
